Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6997","Fabricación de pesticidas","1998","1998","mil toneladas","59658.822803","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6997","Fabricación de pesticidas","1999","1999","mil toneladas","59821.632285","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6997","Fabricación de pesticidas","2000","2000","mil toneladas","60450.528403","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6997","Fabricación de pesticidas","2001","2001","mil toneladas","61539.749361","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6997","Fabricación de pesticidas","2002","2002","mil toneladas","62017.626434","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6997","Fabricación de pesticidas","2003","2003","mil toneladas","64697.115234","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6997","Fabricación de pesticidas","2004","2004","mil toneladas","69428.002546","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6997","Fabricación de pesticidas","2005","2005","mil toneladas","72093.100875","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6997","Fabricación de pesticidas","2006","2006","mil toneladas","71209.901043","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6997","Fabricación de pesticidas","2007","2007","mil toneladas","73945.663507","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6997","Fabricación de pesticidas","2008","2008","mil toneladas","77147.349557","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6997","Fabricación de pesticidas","2009","2009","mil toneladas","72282.370166","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6997","Fabricación de pesticidas","2010","2010","mil toneladas","80713.666888","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6997","Fabricación de pesticidas","2011","2011","mil toneladas","82255.5656","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6997","Fabricación de pesticidas","2012","2012","mil toneladas","86243.395779","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6997","Fabricación de pesticidas","2013","2013","mil toneladas","86016.914588","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6997","Fabricación de pesticidas","2014","2014","mil toneladas","85818.741479","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6997","Fabricación de pesticidas","2015","2015","mil toneladas","86536.598215","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6997","Fabricación de pesticidas","2016","2016","mil toneladas","88818.429623","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6997","Fabricación de pesticidas","2017","2017","mil toneladas","86494.653961","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6997","Fabricación de pesticidas","2018","2018","mil toneladas","84128.260503","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6997","Fabricación de pesticidas","2019","2019","mil toneladas","85358.9085","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6997","Fabricación de pesticidas","2020","2020","mil toneladas","51209.49897","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6997","Fabricación de pesticidas","2021","2021","mil toneladas","88350.123307","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6507","Transformación de alimentos","1990","1990","mil toneladas","362820.014562","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6507","Transformación de alimentos","1991","1991","mil toneladas","376404.353206","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6507","Transformación de alimentos","1992","1992","mil toneladas","419619.008143","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6507","Transformación de alimentos","1993","1993","mil toneladas","440362.862285","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6507","Transformación de alimentos","1994","1994","mil toneladas","431767.660441","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6507","Transformación de alimentos","1995","1995","mil toneladas","506249.095255","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6507","Transformación de alimentos","1996","1996","mil toneladas","496551.075233","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6507","Transformación de alimentos","1997","1997","mil toneladas","496721.587635","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6507","Transformación de alimentos","1998","1998","mil toneladas","507173.373165","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6507","Transformación de alimentos","1999","1999","mil toneladas","489675.405794","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6507","Transformación de alimentos","2000","2000","mil toneladas","501408.28743","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6507","Transformación de alimentos","2001","2001","mil toneladas","517341.611368","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6507","Transformación de alimentos","2002","2002","mil toneladas","529777.213175","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6507","Transformación de alimentos","2003","2003","mil toneladas","533674.105214","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6507","Transformación de alimentos","2004","2004","mil toneladas","570531.809736","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6507","Transformación de alimentos","2005","2005","mil toneladas","584609.700282","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6507","Transformación de alimentos","2006","2006","mil toneladas","609096.844147","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6507","Transformación de alimentos","2007","2007","mil toneladas","632232.157914","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6507","Transformación de alimentos","2008","2008","mil toneladas","646266.621162","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6507","Transformación de alimentos","2009","2009","mil toneladas","630603.847169","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6507","Transformación de alimentos","2010","2010","mil toneladas","649596.047759","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6507","Transformación de alimentos","2011","2011","mil toneladas","659103.921361","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6507","Transformación de alimentos","2012","2012","mil toneladas","663834.588706","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6507","Transformación de alimentos","2013","2013","mil toneladas","667158.884902","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6507","Transformación de alimentos","2014","2014","mil toneladas","637538.870955","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6507","Transformación de alimentos","2015","2015","mil toneladas","627754.355764","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6507","Transformación de alimentos","2016","2016","mil toneladas","635556.860853","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6507","Transformación de alimentos","2017","2017","mil toneladas","613809.458381","E","Valor estimado"
